X,Y,OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date
-1.461971,54.953039,4,OB02005926,A-Class IRB No Name,Boldon Support Centre,54.953039,-1.461971,,,,,A-61,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,20/05/2009
-1.461971,54.953039,5,OB02005927,A-Class IRB No Name,Boldon Support Centre,54.953039,-1.461971,,,,,A-62,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,20/05/2009
-1.461971,54.953039,6,OB02006056,A-Class IRB No Name,Boldon Support Centre,54.953039,-1.461971,,,,,A-71,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/01/2009
-4.531008,50.820874,9,OB02003633,A-Class IRB No Name,Bude Support Centre,50.820874,-4.531008,,,,,A-35,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/05/2005
1.536355,52.742765,12,OB02004862,A-Class IRB Liverpool Tall Ships 2008,Catfield Support Centre,52.742765,1.536355,,,,,A-47,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,07/05/2008
1.536355,52.742765,13,OB02004863,A-Class IRB Margaret and Bruce,Catfield Support Centre,52.742765,1.536355,,,,,A-48,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,11/02/2008
-3.041651,53.55519,18,OB02005928,A-Class IRB No Name,Formby Support Centre,53.55519,-3.041651,,,,,A-63,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,10/05/2013
-3.041651,53.55519,19,OB02006055,A-Class IRB No Name,Formby Support Centre,53.55519,-3.041651,,,,,A-70,,A-Class,Arancia United Kingdom built,AranciaUK,MK2Lifeguard,01/08/2009
-4.959074,51.828345,22,OB02005017,A-Class IRB No Name,Haverfordwest Support Centre,51.828345,-4.959074,,,,,A-50,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,24/04/2008
-5.406723,50.178696,23,OB02004918,A-Class IRB Amy,Hayle Support Centre,50.178696,-5.406723,,,,,A-44,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,24/04/2008
-5.406723,50.178696,24,OB02004861,A-Class IRB Joyce,Hayle Support Centre,50.178696,-5.406723,,,,,A-46,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,24/04/2008
-5.406723,50.178696,25,OB02012345,A-Class IRB No Name,Hayle Support Centre,50.178696,-5.406723,,,,,A-80,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/03/2015
-2.195827,49.206005,34,OB02007639,A-Class IRB No Name,Jersey Support Centre (St Peters Hallmark House),49.206005,-2.195827,,,,,A-75,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/04/2011
-4.125121,51.178681,35,OB02004097,A-Class IRB Margaret Edith,Mullacott Support Centre,51.178681,-4.125121,,,,,A-41,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,16/05/2006
-4.125121,51.178681,36,OB02005106,A-Class IRB No Name,Mullacott Support Centre,51.178681,-4.125121,,,,,A-57,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/05/2010
-5.147104,50.342906,43,OB02005930,A-Class IRB No Name,Perranporth Support Centre,50.342906,-5.147104,,,,,A-65,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/02/2009
-5.147104,50.342906,44,OB02005105,A-Class IRB No Name,Perranporth Support Centre,50.342906,-5.147104,,,,,A-56,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,21/05/2009
-5.147104,50.342906,45,OB02003187,A-Class IRB No Name,Perranporth Support Centre,50.342906,-5.147104,,,,,A-21,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/05/2002
-5.147104,50.342906,46,OB02012346,A-Class IRB No Name,Perranporth Support Centre,50.342906,-5.147104,,,,,A-81,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/04/2016
-5.147104,50.342906,47,OB02012347,A-Class IRB No Name,Perranporth Support Centre,50.342906,-5.147104,,,,,A-82,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/04/2016
-5.147104,50.342906,48,OB02004096,A-Class IRB Renee and Stuart Blackburn,Perranporth Support Centre,50.342906,-5.147104,,,,,A-40,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,16/05/2006
-5.147104,50.342906,49,OB02004860,A-Class IRB Smithy,Perranporth Support Centre,50.342906,-5.147104,,,,,A-45,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,24/04/2008
-1.988938,50.733573,50,OB02003188,A-Class IRB No Name,Poole Support Centre,50.733573,-1.988938,,,,,A-22,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/05/2002
-1.988938,50.733573,51,OB02003183,A-Class IRB No Name,Poole Support Centre,50.733573,-1.988938,,,,,A-16,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/05/2002
-1.988938,50.733573,52,OB02003185,A-Class IRB No Name,Poole Support Centre,50.733573,-1.988938,,,,,A-19,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/05/2002
-1.988938,50.733573,55,OB02003184,A-Class BB No Name,Poole Support Centre,50.733573,-1.988938,,,,,A-18,,A-Class,Arancia New Zealand built,AranciaNZ,MK1BB,01/05/2002
1.391122,51.341302,67,OB02005107,A-Class IRB No Name,Ramsgate Support Centre,51.341302,1.391122,,,,,A-58,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,28/05/2012
1.391122,51.341302,68,OB02005925,A-Class IRB No Name,Ramsgate Support Centre,51.341302,1.391122,,,,,A-60,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,20/05/2009
-3.993572,51.64393,69,OB02003436,D-Class CT The Young Watsons,Swansea Support Centre,51.64393,-3.993572,The RNLI College,50.717231,-1.989152,,D-611,,D-Class,IB1 variant,IB1,MK2CTIB1,01/09/2003
-4.838817,50.521361,73,OB02004095,A-Class IRB Gary Manwaring,Wadebridge Support Centre,50.521361,-4.838817,,,,,A-39,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,16/05/2006
-4.838817,50.521361,75,OB02012348,A-Class IRB No Name,Wadebridge Support Centre,50.521361,-4.838817,,,,,A-83,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,
-2.489611,50.614981,76,OB02003191,A-Class IRB Cmdr John Townrow Rnvr,Weymouth Support Centre,50.614981,-2.489611,,,,,A-25,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/05/2002
-2.489611,50.614981,77,OB02012344,A-Class IRB Morris and Joyce Gibb,Weymouth Support Centre,50.614981,-2.489611,,,,,A-79,,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/04/2013
